id,price_doc
30474,6052061.594112575
30475,8466299.335763732
30476,5975781.283982937
30477,6209144.85933825
30478,5367401.7036141455
30479,8929439.11595103
30480,4837176.292309951
30481,4362209.393453756
30482,4830871.847905477
30483,4534744.34332927
30484,6272095.564054198
30485,5609589.663695135
30486,4031960.6384201655
30487,4464334.310542743
30488,6592636.428538432
30489,6730694.998472191
30490,20128552.63834986
30491,19712236.732198916
30492,6534406.069841532
30493,14234453.034822674
30494,7146933.378324784
30495,11682040.733980192
30496,9579936.754143575
30497,9076777.12450554
30498,4819599.576165075
30499,9106715.808853928
30500,10579212.78747397
30501,7120450.275947297
30502,3686532.673993533
30503,7265283.965983118
30504,6249107.616864813
30505,11497766.642981306
30506,4131365.6931737866
30507,5143250.371290657
30508,5979198.252081987
30509,8042124.281504425
30510,9326582.893773887
30511,6710899.972420115
30512,7027647.484994486
30513,4797220.595866803
30514,4152208.77094507
30515,9345250.07742717
30516,6548185.824715119
30517,10579054.629964452
30518,8192033.078842771
30519,4868324.878249352
30520,6502121.797437211
30521,6172295.967525401
30522,8044613.155158159
30523,6741840.458585746
30524,9959566.965007616
30525,10752465.392913144
30526,5170647.397596181
30527,5585334.961222287
30528,6962902.140391365
30529,7440620.808903744
30530,6345606.969945121
30531,12892257.224209202
30532,4909736.942959958
30533,10304254.559750974
30534,7267309.607828633
30535,9494421.441336187
30536,6093878.734459891
30537,11720706.552403595
30538,5316479.999788169
30539,12856263.955496566
30540,9519310.484395193
30541,7339909.372537723
30542,2755193.5523583274
30543,5891245.0660374155
30544,7899911.182502991
30545,8995200.363301873
30546,4438617.354322443
30547,9319786.772101156
30548,4606590.393357456
30549,5646469.633862603
30550,11377723.931889877
30551,5488483.8576283995
30552,2311064.8190267147
30553,7565552.589120514
30554,11534150.153603965
30555,6787686.298504926
30556,8322009.592214562
30557,8480214.785890697
30558,9987688.224842181
30559,7062604.302484161
30560,6567347.444778725
30561,7233789.348244793
30562,11196784.971372044
30563,5488067.933195898
30564,7490076.70654453
30565,7808974.561467749
30566,7536623.904299206
30567,2511928.657862675
30568,10550197.49439884
30569,9199020.942577992
30570,6650843.435030824
30571,6322596.990940107
30572,5362590.6076275185
30573,6516614.839663068
30574,6490202.453781231
30575,7338526.505173248
30576,5027563.8518835
30577,4948696.495010138
30578,3816005.6567368642
30579,7231347.868776257
30580,5050677.000895277
30581,5318207.958425017
30582,12330656.743018564
30583,7097626.867437145
30584,5031224.703605578
30585,2803535.543216175
30586,9292101.809820803
30587,6264304.099841445
30588,8478376.823772537
30589,7920793.748284776
30590,12941865.124394462
30591,5842691.645669898
30592,6698329.087313179
30593,9334329.290465033
30594,10543010.306385916
30595,6333459.580321184
30596,8258772.671621412
30597,6516614.839663068
30598,9513988.44846799
30599,12122573.519951647
30600,6274068.8331776615
30601,6715931.85487392
30602,2381088.512341113
30603,12515031.951339757
30604,5058945.924675647
30605,6625368.196933995
30606,21887904.892529707
30607,7889239.047468669
30608,8105100.268395718
30609,6730694.998472191
30610,3510648.002870143
30611,5979198.252081987
30612,7736204.718965253
30613,7943512.064038925
30614,16583345.835849652
30615,7596853.5527344085
30616,6124463.524644843
30617,9890503.60645024
30618,5174141.59191021
30619,4490544.075762743
30620,3358689.1628251364
30621,9098901.318264225
30622,9212355.902146023
30623,6677919.056806401
30624,7055636.529334966
30625,8434811.93754241
30626,7316694.359772806
30627,7775274.676866954
30628,6491725.796604061
30629,5519407.316485338
30630,5042660.970587139
30631,6416729.586683376
30632,3952337.1251030546
30633,6072685.379631784
30634,11842196.53077843
30635,9519310.484395193
30636,6029856.452926824
30637,9403065.171901684
30638,6407077.82297275
30639,8085087.102512176
30640,4904909.729043355
30641,8406883.797880346
30642,6265406.017032019
